Country,Schizophrenia,Depressive,Anxiety,Bipolar,Eating
Kyrgyzstan,0.2771153136666667,3.9552833633333333,4.32120781,0.8014218323333335,0.32833187066666664
Laos,0.2626055179999999,3.513582153333333,2.0561706566666667,0.5158251423333334,0.08802571963333335
Latvia,0.26940072333333337,2.806830396666667,4.33706129,0.32481127900000006,0.07794088576666666
Lebanon,0.280560007,3.9964663799999998,3.76310555,0.5207842936666668,0.14207233066666666
Lesotho,0.2535111723333333,4.89358062,6.13226347,0.9415849566666665,0.20753939866666665
Liberia,0.20026494066666664,5.335037696666665,3.5257074066666663,0.532132391,0.09487364506666666
Libya,0.20520076499999995,4.706267303333332,3.442177076666666,0.5433274956666667,0.07077967333333332
Lithuania,0.25693884466666667,4.322260383333333,5.187868116666665,0.7696976406666668,0.23319089899999998
Low-income countries,0.2818776066666667,4.201264563333333,4.341475480000001,0.521706871,0.14533638400000004
Lower-middle-income countries,0.21641343666666665,4.703679643333333,3.616270583333334,0.545363692,0.0815409659
Luxembourg,0.273404418,3.841558773333333,3.228443746666666,0.416105193,0.10481732873333334
Madagascar,0.28003051000000007,3.4699540866666663,5.329732333333333,0.8971210073333331,0.517864494
Malawi,0.21234820899999998,4.775247753333334,3.8690102733333323,0.5974183096666666,0.08460600176666665
Malaysia,0.20055590966666664,4.1749277,3.749776393333333,0.5774124333333333,0.07513080173333334
Maldives,0.30775145433333323,3.377832483333333,4.537624930000001,0.33959438966666666,0.1295667828666667
Mali,0.30161808633333337,3.23528715,3.6241335699999997,0.3400922216666667,0.10709400036666668
Malta,0.2092346983333333,3.509912986666668,2.65417973,0.541944625,0.08511111953333333
Marshall Islands,0.27567029566666673,3.063263263333334,6.263409050000002,0.9146931319999999,0.3640630473333334
Mauritania,0.27329803766666666,2.9179759733333337,3.955683366666667,0.26576542133333336,0.07843710009999999
Mauritius,0.21873483899999993,3.6435272266666656,2.727863253333334,0.5560990993333335,0.10481613260000001
Mexico,0.3018485263333334,4.110416816666667,3.8266835699999993,0.3375026983333333,0.12004357466666667
Micronesia (country),0.28279051800000005,3.2945880866666672,3.3570753633333337,0.9156179306666666,0.23475761800000008
Moldova,0.27078995833333336,2.94900095,3.96920533,0.26457584266666667,0.07772938813333333
Monaco,0.26705117733333333,3.3964462366666677,4.097258063333333,0.5186681026666667,0.09990423326666667
